TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE,COLUMN_KEY,COLUMN_DEFAULT
comments,created_by,int,NO,MUL,NULL
comments,parent_id,int,YES,MUL,NULL
comments,created_at,timestamp,YES,,CURRENT_TIMESTAMP
comments,updated_at,timestamp,YES,,CURRENT_TIMESTAMP
events,id,int,NO,PRI,NULL
events,title,varchar,NO,,NULL
events,start_date,datetime,NO,,NULL
events,end_date,datetime,NO,,NULL
events,owner_id,int,NO,MUL,NULL
events,created_at,timestamp,YES,,CURRENT_TIMESTAMP
events,updated_at,timestamp,YES,,CURRENT_TIMESTAMP
events,recurrence,varchar,YES,,NULL
events,description,text,YES,,NULL
events,location,varchar,YES,,NULL
events,all_day,tinyint,NO,,0
events,start,datetime,NO,MUL,NULL
events,end,datetime,NO,,NULL
events,workspace_id,bigint,YES,MUL,NULL
events,project_id,bigint,YES,MUL,NULL
events,category,varchar,YES,,NULL
kanban_boards,id,int,NO,PRI,NULL
kanban_boards,project_id,int,NO,MUL,NULL
kanban_boards,name,varchar,NO,,NULL
kanban_boards,description,text,YES,,NULL
kanban_boards,color,varchar,YES,,#3B82F6
kanban_boards,position,int,NO,,0
kanban_boards,is_default,tinyint,YES,,0
kanban_boards,settings,json,YES,,NULL
kanban_boards,created_at,timestamp,YES,,CURRENT_TIMESTAMP
kanban_boards,updated_at,timestamp,YES,,CURRENT_TIMESTAMP
kanban_boards,created_by,int,NO,MUL,NULL
kanban_card_activities,id,int,NO,PRI,NULL
kanban_card_activities,card_id,int,NO,MUL,NULL
kanban_card_activities,user_id,int,NO,MUL,NULL
kanban_card_activities,action,enum,NO,,NULL
kanban_card_activities,details,json,YES,,NULL
kanban_card_activities,old_values,json,YES,,NULL
kanban_card_activities,new_values,json,YES,,NULL
kanban_card_activities,created_at,timestamp,YES,MUL,CURRENT_TIMESTAMP
kanban_card_attachments,id,int,NO,PRI,NULL
kanban_card_attachments,card_id,int,NO,MUL,NULL
kanban_card_attachments,filename,varchar,NO,,NULL
kanban_card_attachments,original_name,varchar,NO,,NULL
kanban_card_attachments,file_size,int,NO,,NULL
kanban_card_attachments,mime_type,varchar,NO,,NULL
kanban_card_attachments,uploaded_by,int,NO,MUL,NULL
kanban_card_attachments,created_at,timestamp,YES,,CURRENT_TIMESTAMP
kanban_card_comments,id,int,NO,PRI,NULL
kanban_card_comments,card_id,int,NO,MUL,NULL
kanban_card_comments,user_id,int,NO,MUL,NULL
kanban_card_comments,content,text,NO,,NULL
kanban_card_comments,created_at,timestamp,YES,,CURRENT_TIMESTAMP
kanban_card_comments,updated_at,timestamp,YES,,CURRENT_TIMESTAMP
kanban_cards,id,int,NO,PRI,NULL
kanban_cards,board_id,int,NO,MUL,NULL
kanban_cards,column_id,int,NO,MUL,NULL
kanban_cards,task_id,int,YES,MUL,NULL
kanban_cards,title,varchar,NO,,NULL
kanban_cards,description,text,YES,,NULL
kanban_cards,assignee_id,int,YES,MUL,NULL
kanban_cards,reporter_id,int,NO,MUL,NULL
kanban_cards,priority,enum,YES,,MEDIUM
kanban_cards,status,enum,YES,MUL,ACTIVE
kanban_cards,story_points,int,YES,,NULL
kanban_cards,estimated_hours,decimal,YES,,NULL
kanban_cards,actual_hours,decimal,YES,,0.00
kanban_cards,due_date,date,YES,MUL,NULL
kanban_cards,position,int,NO,,0
kanban_cards,labels,json,YES,,NULL
kanban_cards,custom_fields,json,YES,,NULL
kanban_cards,blocked,tinyint,YES,,0
kanban_cards,blocked_reason,text,YES,,NULL
kanban_cards,created_at,timestamp,YES,,CURRENT_TIMESTAMP
kanban_cards,updated_at,timestamp,YES,,CURRENT_TIMESTAMP
kanban_cards,completed_at,timestamp,YES,,NULL
kanban_columns,id,int,NO,PRI,NULL
kanban_columns,board_id,int,NO,MUL,NULL
kanban_columns,name,varchar,NO,,NULL
kanban_columns,color,varchar,YES,,#6B7280
kanban_columns,position,int,NO,,0
kanban_columns,wip_limit,int,YES,,NULL
kanban_columns,is_done_column,tinyint,YES,,0
kanban_columns,settings,json,YES,,NULL
kanban_columns,created_at,timestamp,YES,,CURRENT_TIMESTAMP
kanban_columns,updated_at,timestamp,YES,,CURRENT_TIMESTAMP
mentions,id,int,NO,PRI,NULL
mentions,user_id,int,NO,MUL,NULL
mentions,source_type,enum,NO,,NULL
mentions,source_id,int,NO,,NULL
mentions,created_at,timestamp,YES,,CURRENT_TIMESTAMP
milestone_deliverables,id,int,NO,PRI,NULL
milestone_deliverables,milestone_id,int,NO,MUL,NULL
milestone_deliverables,name,varchar,NO,,NULL
milestone_deliverables,description,text,YES,,NULL
milestone_deliverables,status,enum,YES,,NOT_STARTED
milestone_deliverables,assignee_id,int,YES,MUL,NULL
milestone_deliverables,due_date,date,YES,,NULL
milestone_deliverables,completion_criteria,text,YES,,NULL
milestone_deliverables,created_at,timestamp,YES,,CURRENT_TIMESTAMP
milestone_deliverables,updated_at,timestamp,YES,,CURRENT_TIMESTAMP
milestone_deliverables,completed_at,timestamp,YES,,NULL
milestones,id,int,NO,PRI,NULL
milestones,project_id,int,NO,MUL,NULL
milestones,name,varchar,NO,,NULL
milestones,description,text,YES,,NULL
milestones,due_date,date,NO,MUL,NULL
milestones,status,enum,YES,MUL,PLANNING
milestones,progress_percentage,decimal,YES,,0.00
milestones,priority,enum,YES,,MEDIUM
milestones,owner_id,int,YES,MUL,NULL
milestones,created_by,int,NO,MUL,NULL
milestones,created_at,timestamp,YES,,CURRENT_TIMESTAMP
milestones,updated_at,timestamp,YES,,CURRENT_TIMESTAMP
milestones,completed_at,timestamp,YES,,NULL
notes,id,int,NO,PRI,NULL
notes,title,varchar,NO,MUL,NULL
notes,content,longtext,YES,,NULL
notes,project_id,int,YES,MUL,NULL
notes,created_by,int,NO,MUL,NULL
notes,is_favorite,tinyint,YES,,0
notes,tags,json,YES,,NULL
notes,created_at,timestamp,YES,,CURRENT_TIMESTAMP
notes,updated_at,timestamp,YES,,CURRENT_TIMESTAMP
notes,workspace_id,int,YES,MUL,NULL
notifications,id,int,NO,PRI,NULL
notifications,user_id,int,NO,MUL,NULL
notifications,type,enum,NO,,NULL
notifications,title,varchar,NO,,NULL
notifications,message,text,YES,,NULL
notifications,related_id,int,YES,,NULL
notifications,related_type,varchar,YES,,NULL
notifications,is_read,tinyint,YES,MUL,0
notifications,created_at,timestamp,YES,,CURRENT_TIMESTAMP
notifications,related_workspace_id,int,YES,MUL,NULL
password_resets,id,int,NO,PRI,NULL
password_resets,user_id,int,NO,MUL,NULL
password_resets,token_hash,varchar,NO,MUL,NULL
password_resets,expires_at,datetime,NO,,NULL
password_resets,used_at,datetime,YES,,NULL
password_resets,created_at,timestamp,YES,,CURRENT_TIMESTAMP
project_members,id,int,NO,PRI,NULL
project_members,project_id,int,NO,MUL,NULL
project_members,user_id,int,NO,MUL,NULL
project_members,role,enum,YES,,member
project_members,joined_at,timestamp,YES,,CURRENT_TIMESTAMP
project_templates,id,int,NO,PRI,NULL
project_templates,name,varchar,NO,,NULL
project_templates,description,text,YES,,NULL
project_templates,category,enum,YES,MUL,GENERAL
project_templates,template_data,json,NO,,NULL
project_templates,is_public,tinyint,YES,MUL,0
project_templates,created_by,int,NO,MUL,NULL
project_templates,usage_count,int,YES,,0
project_templates,created_at,timestamp,YES,,CURRENT_TIMESTAMP
project_templates,updated_at,timestamp,YES,,CURRENT_TIMESTAMP
projects,id,int,NO,PRI,NULL
projects,name,varchar,NO,MUL,NULL
projects,description,text,YES,,NULL
projects,color,varchar,YES,,#3B82F6
projects,owner_id,int,NO,MUL,NULL
projects,workspace_id,int,YES,MUL,NULL
projects,is_personal,tinyint,YES,,1
projects,status,enum,NO,MUL,active
projects,created_at,timestamp,YES,,CURRENT_TIMESTAMP
projects,updated_at,timestamp,YES,,CURRENT_TIMESTAMP
projects,project_type,enum,YES,,TRADITIONAL
projects,estimated_hours,decimal,YES,,NULL
projects,actual_hours,decimal,YES,,0.00
projects,budget,decimal,YES,,NULL
projects,hourly_rate,decimal,YES,,NULL
projects,template_id,int,YES,MUL,NULL
projects,settings,json,YES,,NULL
reactions,id,int,NO,PRI,NULL
reactions,type,varchar,NO,,NULL
reactions,user_id,int,NO,MUL,NULL
reactions,target_type,enum,NO,,NULL
reactions,target_id,int,NO,,NULL
reactions,created_at,timestamp,YES,,CURRENT_TIMESTAMP
resource_allocations,id,int,NO,PRI,NULL
resource_allocations,user_id,int,NO,MUL,NULL
resource_allocations,project_id,int,NO,MUL,NULL
resource_allocations,allocated_hours,decimal,NO,,NULL
resource_allocations,allocation_percentage,decimal,NO,,NULL
resource_allocations,start_date,date,NO,MUL,NULL
resource_allocations,end_date,date,NO,,NULL
resource_allocations,status,enum,YES,MUL,PROPOSED
resource_allocations,notes,text,YES,,NULL
resource_allocations,created_by,int,NO,MUL,NULL
resource_allocations,created_at,timestamp,YES,,CURRENT_TIMESTAMP
resource_allocations,updated_at,timestamp,YES,,CURRENT_TIMESTAMP
resource_capacity,id,int,NO,PRI,NULL
resource_capacity,user_id,int,NO,MUL,NULL
resource_capacity,workspace_id,int,NO,MUL,NULL
resource_capacity,weekly_hours,decimal,YES,,40.00
resource_capacity,start_date,date,NO,MUL,NULL
resource_capacity,end_date,date,YES,,NULL
resource_capacity,is_active,tinyint,YES,,1
resource_capacity,created_at,timestamp,YES,,CURRENT_TIMESTAMP
resource_capacity,updated_at,timestamp,YES,,CURRENT_TIMESTAMP
subtasks,id,int,NO,PRI,NULL
subtasks,task_id,int,YES,MUL,NULL
subtasks,title,varchar,YES,,NULL
subtasks,completed,tinyint,YES,,0
tags,id,int,NO,PRI,NULL
tags,name,varchar,YES,UNI,NULL
task_dependencies,id,int,NO,PRI,NULL
task_dependencies,task_id,int,NO,MUL,NULL
task_dependencies,blocked_by_task_id,int,NO,MUL,NULL
task_tags,task_id,int,NO,PRI,NULL
task_tags,tag_id,int,NO,PRI,NULL
tasks,id,int,NO,PRI,NULL
tasks,title,varchar,NO,MUL,NULL
tasks,description,text,YES,,NULL
tasks,project_id,int,YES,MUL,NULL
tasks,assigned_to,int,YES,MUL,NULL
tasks,created_by,int,NO,MUL,NULL
tasks,status,enum,YES,MUL,todo
tasks,priority,enum,YES,,medium
tasks,due_date,datetime,YES,MUL,NULL
tasks,start_date,datetime,YES,,NULL
tasks,completion_date,datetime,YES,,NULL
tasks,estimated_hours,decimal,YES,MUL,NULL
tasks,actual_hours,decimal,YES,,NULL
tasks,position,int,YES,,0
tasks,created_at,timestamp,YES,,CURRENT_TIMESTAMP
tasks,updated_at,timestamp,YES,,CURRENT_TIMESTAMP
tasks,workspace_id,int,YES,MUL,NULL
tasks,recurrence,varchar,YES,,NULL
tasks,story_points,int,YES,MUL,NULL
tasks,labels,json,YES,,NULL
tasks,custom_fields,json,YES,,NULL
template_usage,id,int,NO,PRI,NULL
template_usage,template_id,int,NO,MUL,NULL
template_usage,user_id,int,NO,MUL,NULL
template_usage,project_id,int,YES,MUL,NULL
template_usage,used_at,timestamp,YES,MUL,CURRENT_TIMESTAMP
time_tracking_active_timers,id,int,NO,PRI,NULL
time_tracking_active_timers,user_id,int,NO,UNI,NULL
time_tracking_active_timers,project_id,int,YES,MUL,NULL
time_tracking_active_timers,task_id,int,YES,MUL,NULL
time_tracking_active_timers,card_id,int,YES,MUL,NULL
time_tracking_active_timers,description,text,YES,,NULL
time_tracking_active_timers,started_at,timestamp,NO,,NULL
time_tracking_active_timers,last_activity_at,timestamp,YES,,CURRENT_TIMESTAMP
time_tracking_active_timers,is_paused,tinyint,YES,,0
time_tracking_active_timers,paused_duration,int,YES,,0
time_tracking_active_timers,tags,json,YES,,NULL
time_tracking_entries,id,int,NO,PRI,NULL
time_tracking_entries,user_id,int,NO,MUL,NULL
time_tracking_entries,project_id,int,YES,MUL,NULL
time_tracking_entries,task_id,int,YES,MUL,NULL
time_tracking_entries,card_id,int,YES,MUL,NULL
time_tracking_entries,description,text,YES,,NULL
time_tracking_entries,start_time,timestamp,NO,MUL,NULL
time_tracking_entries,end_time,timestamp,NO,,NULL
time_tracking_entries,duration_seconds,int,NO,,NULL
time_tracking_entries,is_billable,tinyint,YES,MUL,0
time_tracking_entries,hourly_rate,decimal,YES,,NULL
time_tracking_entries,tags,json,YES,,NULL
time_tracking_entries,entry_type,enum,YES,,TIMER
time_tracking_entries,created_at,timestamp,YES,,CURRENT_TIMESTAMP
time_tracking_entries,updated_at,timestamp,YES,,CURRENT_TIMESTAMP
time_tracking_settings,id,int,NO,PRI,NULL
time_tracking_settings,user_id,int,NO,UNI,NULL
time_tracking_settings,default_hourly_rate,decimal,YES,,NULL
time_tracking_settings,track_idle_time,tinyint,YES,,1
time_tracking_settings,idle_timeout_minutes,int,YES,,15
time_tracking_settings,auto_stop_timer,tinyint,YES,,0
time_tracking_settings,daily_goal_hours,decimal,YES,,8.00
time_tracking_settings,weekly_goal_hours,decimal,YES,,40.00
time_tracking_settings,timezone,varchar,YES,,UTC
time_tracking_settings,date_format,varchar,YES,,YYYY-MM-DD
time_tracking_settings,time_format,varchar,YES,,HH:mm
time_tracking_settings,created_at,timestamp,YES,,CURRENT_TIMESTAMP
time_tracking_settings,updated_at,timestamp,YES,,CURRENT_TIMESTAMP
user_presence,user_id,int,NO,PRI,NULL
user_presence,workspace_id,int,NO,MUL,NULL
user_presence,current_page,varchar,YES,,NULL
user_presence,last_activity,timestamp,YES,,CURRENT_TIMESTAMP
user_presence,is_online,tinyint,YES,MUL,1
user_presence,session_data,json,YES,,NULL
user_sessions,id,int,NO,PRI,NULL
user_sessions,user_id,int,NO,MUL,NULL
user_sessions,refresh_token,varchar,NO,MUL,NULL
user_sessions,device_info,varchar,YES,,NULL
user_sessions,ip_address,varchar,YES,,NULL
user_sessions,expires_at,datetime,NO,,NULL
user_sessions,created_at,timestamp,YES,,CURRENT_TIMESTAMP
users,id,int,NO,PRI,NULL
users,username,varchar,NO,UNI,NULL
users,email,varchar,NO,UNI,NULL
users,password_hash,varchar,NO,,NULL
users,first_name,varchar,NO,,NULL
users,last_name,varchar,NO,,NULL
users,profile_picture,varchar,YES,,NULL
users,timezone,varchar,YES,,UTC
users,email_verified,tinyint,YES,,0
users,is_active,tinyint,YES,,1
users,created_at,timestamp,YES,,CURRENT_TIMESTAMP
users,updated_at,timestamp,YES,,CURRENT_TIMESTAMP
users,last_seen,timestamp,YES,,CURRENT_TIMESTAMP
users,current_page,varchar,YES,,NULL
users,is_online,tinyint,YES,,0
workspace_invitations,id,int,NO,PRI,NULL
workspace_invitations,workspace_id,int,NO,MUL,NULL
workspace_invitations,email,varchar,NO,MUL,NULL
workspace_invitations,invite_token,varchar,NO,UNI,NULL
workspace_invitations,invited_by,int,NO,MUL,NULL
workspace_invitations,status,enum,YES,,pending
workspace_invitations,created_at,timestamp,YES,,CURRENT_TIMESTAMP
workspace_invitations,expires_at,timestamp,NO,,NULL
workspace_invitations,accepted_at,timestamp,YES,,NULL
workspace_members,id,int,NO,PRI,NULL
workspace_members,workspace_id,int,NO,MUL,NULL
workspace_members,user_id,int,NO,MUL,NULL
workspace_members,role,enum,YES,,member
workspace_members,added_at,timestamp,YES,,CURRENT_TIMESTAMP
workspace_settings,id,int,NO,PRI,NULL
workspace_settings,workspace_id,int,NO,UNI,NULL
workspace_settings,time_tracking_enabled,tinyint,YES,,1
workspace_settings,kanban_enabled,tinyint,YES,,1
workspace_settings,milestones_enabled,tinyint,YES,,1
workspace_settings,resource_planning_enabled,tinyint,YES,,1
workspace_settings,default_project_template_id,int,YES,MUL,NULL
workspace_settings,work_hours_start,time,YES,,09:00:00
workspace_settings,work_hours_end,time,YES,,17:00:00
workspace_settings,default_hourly_rate,decimal,YES,,NULL
workspace_settings,currency,varchar,YES,,USD
workspace_settings,date_format,varchar,YES,,YYYY-MM-DD
workspace_settings,time_format,varchar,YES,,HH:mm
workspace_settings,week_start_day,enum,YES,,MONDAY
workspace_settings,custom_fields,json,YES,,NULL
workspace_settings,created_at,timestamp,YES,,CURRENT_TIMESTAMP
workspace_settings,updated_at,timestamp,YES,,CURRENT_TIMESTAMP
workspaces,id,int,NO,PRI,NULL
workspaces,name,varchar,NO,,NULL
workspaces,description,text,YES,,NULL
workspaces,created_by,int,NO,MUL,NULL
workspaces,created_at,timestamp,YES,,CURRENT_TIMESTAMP
yjs_documents,doc_name,varchar,NO,PRI,NULL
yjs_documents,document_data,longblob,YES,,NULL
yjs_documents,item_type,enum,NO,MUL,NULL
yjs_documents,item_id,int,NO,,NULL
yjs_documents,version_vector,mediumblob,YES,,NULL
yjs_documents,last_modified,timestamp,YES,,CURRENT_TIMESTAMP
yjs_documents,created_at,timestamp,YES,,CURRENT_TIMESTAMP
